Dataset_ID	TCGA-THCA-RBN
Source	TCGA
Platform	MDA_RPPA_Core
Sample_Type	patient tumor
Dataset_Summary_Text	Thyroid carcinoma (THCA)
Included_In_Summary	yes
Cancer_Type	Thyroid carcinoma (THCA)
Dataset	THCA
RPPA_Batch_ID	NA
Species	Homo sapiens
Num_Samples	375
Num_Antibodies	190
Normalization_Level	4
Normalization_Method	Replicated Based Normalization (RBN)
Normalization_Description	Using replicate samples that are common between batches, RBN adjusts the means and standard deviations of all the antibodies in the batches so that the means and standard deviations of the replicates become the same in all the batches. 
Dataset_Description	Thyroid carcinoma (THCA) Replicated Based Normalization data, which combines the THCA samples of bach A and B.
Comments	 This dataset should be used for the cross-batch analysis of THCA samples.
Reference	NA
PMID	NA
TCPA_Release	"3.0"
